sicaklik,yagmur,ruzgar,ortam,mevsim,kiyafet
-10,var,kuvvetli,günlük,kış,kalın_mont_şemsiye
-8,yok,kuvvetli,okul,kış,kalın_mont
-5,var,orta,günlük,kış,kalın_mont_şemsiye
-3,yok,zayıf,özel,kış,kalın_mont
-2,var,kuvvetli,günlük,kış,kalın_mont_şemsiye
-1,yok,orta,okul,kış,kalın_mont
0,var,zayıf,günlük,kış,kalın_mont_şemsiye
1,yok,kuvvetli,özel,kış,kalın_mont
2,var,orta,günlük,kış,kalın_mont_şemsiye
3,yok,zayıf,okul,kış,kalın_mont
4,var,kuvvetli,günlük,kış,kalın_mont_şemsiye
5,yok,orta,özel,kış,mont
6,var,zayıf,günlük,kış,mont_şemsiye
7,yok,kuvvetli,okul,kış,mont
8,var,orta,günlük,kış,mont_şemsiye
9,yok,zayıf,özel,kış,mont
10,var,kuvvetli,günlük,kış,mont_şemsiye
11,yok,orta,okul,sonbahar,mont
12,var,zayıf,günlük,sonbahar,yağmurluk
13,yok,kuvvetli,özel,sonbahar,sweatshirt
14,var,orta,günlük,sonbahar,sweatshirt_şemsiye
15,yok,zayıf,okul,sonbahar,sweatshirt
16,var,kuvvetli,günlük,sonbahar,sweatshirt_şemsiye
17,yok,orta,özel,sonbahar,gömlek_pantolon
18,var,zayıf,günlük,sonbahar,sweatshirt_şemsiye
19,yok,kuvvetli,okul,sonbahar,sweatshirt
20,var,orta,günlük,ilkbahar,tişört_şemsiye
21,yok,zayıf,özel,ilkbahar,gömlek_pantolon
22,var,kuvvetli,günlük,ilkbahar,tişört_şemsiye
23,yok,orta,okul,ilkbahar,tişört
24,var,zayıf,günlük,ilkbahar,tişört_şemsiye
25,yok,kuvvetli,özel,ilkbahar,gömlek_pantolon
26,var,orta,günlük,ilkbahar,tişört_şemsiye
27,yok,zayıf,okul,ilkbahar,tişört
28,var,kuvvetli,günlük,yaz,tişört_şort_şemsiye
29,yok,orta,özel,yaz,gömlek_pantolon
30,var,zayıf,günlük,yaz,tişört_şort_şemsiye
31,yok,kuvvetli,okul,yaz,tişört_şort
32,var,orta,günlük,yaz,tişört_şort_şemsiye
33,yok,zayıf,özel,yaz,gömlek_pantolon
34,var,kuvvetli,günlük,yaz,tişört_şort_şemsiye
35,yok,orta,okul,yaz,tişört_şort
36,var,zayıf,günlük,yaz,tişört_şort_şemsiye
37,yok,kuvvetli,özel,yaz,tişört_şort
38,var,orta,günlük,yaz,tişört_şort_şemsiye
39,yok,zayıf,okul,yaz,tişört_şort
40,var,kuvvetli,günlük,yaz,tişört_şort_şemsiye
-7,var,zayıf,günlük,kış,kalın_mont_şemsiye
-6,yok,orta,okul,kış,kalın_mont
-4,var,kuvvetli,özel,kış,kalın_mont_şemsiye
0,yok,zayıf,günlük,kış,kalın_mont
1,var,orta,okul,kış,kalın_mont_şemsiye
2,yok,kuvvetli,özel,kış,kalın_mont
3,var,zayıf,günlük,kış,kalın_mont_şemsiye
4,yok,orta,okul,kış,kalın_mont
5,var,kuvvetli,özel,kış,mont_şemsiye
6,yok,zayıf,günlük,kış,mont
7,var,orta,okul,kış,mont_şemsiye
8,yok,kuvvetli,özel,kış,mont
9,var,zayıf,günlük,kış,mont_şemsiye
10,yok,orta,okul,sonbahar,mont
11,var,kuvvetli,özel,sonbahar,mont_şemsiye
12,yok,zayıf,günlük,sonbahar,sweatshirt
13,var,orta,okul,sonbahar,sweatshirt_şemsiye
14,yok,kuvvetli,özel,sonbahar,sweatshirt
15,var,zayıf,günlük,sonbahar,sweatshirt_şemsiye
16,yok,orta,okul,sonbahar,sweatshirt
17,var,kuvvetli,özel,sonbahar,gömlek_pantolon_şemsiye
18,yok,zayıf,günlük,sonbahar,sweatshirt
19,var,orta,okul,sonbahar,sweatshirt_şemsiye
20,yok,kuvvetli,özel,ilkbahar,gömlek_pantolon
21,var,zayıf,günlük,ilkbahar,tişört_şemsiye
22,yok,orta,okul,ilkbahar,tişört
23,var,kuvvetli,özel,ilkbahar,gömlek_pantolon_şemsiye
24,yok,zayıf,günlük,ilkbahar,tişört
25,var,orta,okul,ilkbahar,tişört_şemsiye
26,yok,kuvvetli,özel,ilkbahar,gömlek_pantolon
27,var,zayıf,günlük,ilkbahar,tişört_şemsiye
28,yok,orta,okul,yaz,tişört_şort
29,var,kuvvetli,özel,yaz,tişört_şort_şemsiye
30,yok,zayıf,günlük,yaz,tişört_şort
31,var,orta,okul,yaz,tişört_şort_şemsiye
32,yok,kuvvetli,özel,yaz,tişört_şort
33,var,zayıf,günlük,yaz,tişört_şort
34,yok,orta,okul,yaz,tişört_şort
35,var,kuvvetli,özel,yaz,tişört_şort_şemsiye
36,yok,zayıf,günlük,yaz,tişört_şort
37,var,orta,okul,yaz,tişört_şort_şemsiye
38,yok,kuvvetli,özel,yaz,tişört_şort
39,var,zayıf,günlük,yaz,tişört_şort
40,yok,orta,okul,yaz,tişört_şort
-9,yok,zayıf,günlük,kış,kalın_mont
-8,var,orta,okul,kış,kalın_mont_şemsiye
-6,yok,kuvvetli,özel,kış,kalın_mont
-5,var,zayıf,günlük,kış,kalın_mont_şemsiye
-3,yok,orta,okul,kış,kalın_mont
-2,var,kuvvetli,özel,kış,kalın_mont_şemsiye
-1,yok,zayıf,günlük,kış,kalın_mont
0,var,orta,okul,kış,kalın_mont_şemsiye
1,yok,kuvvetli,özel,kış,kalın_mont
2,var,zayıf,günlük,kış,kalın_mont_şemsiye
3,yok,orta,okul,kış,kalın_mont
4,var,kuvvetli,özel,kış,kalın_mont_şemsiye
5,yok,zayıf,günlük,kış,mont
6,var,orta,okul,kış,mont_şemsiye
7,yok,kuvvetli,özel,kış,mont
8,var,zayıf,günlük,kış,mont_şemsiye
9,yok,orta,okul,kış,mont
10,var,kuvvetli,özel,sonbahar,mont_şemsiye
11,yok,zayıf,günlük,sonbahar,mont
12,var,orta,okul,sonbahar,yağmurluk
13,yok,kuvvetli,özel,sonbahar,sweatshirt
14,var,zayıf,günlük,sonbahar,sweatshirt_şemsiye
15,yok,orta,okul,sonbahar,sweatshirt
16,var,kuvvetli,özel,sonbahar,gömlek_pantolon_şemsiye
17,yok,zayıf,günlük,sonbahar,sweatshirt
18,var,orta,okul,sonbahar,sweatshirt_şemsiye
19,yok,kuvvetli,özel,sonbahar,gömlek_pantolon
20,var,zayıf,günlük,ilkbahar,tişört_şemsiye
21,yok,orta,okul,ilkbahar,tişört
22,var,kuvvetli,özel,ilkbahar,gömlek_pantolon_şemsiye
23,yok,zayıf,günlük,ilkbahar,tişört
24,var,orta,okul,ilkbahar,tişört_şemsiye
25,yok,kuvvetli,özel,ilkbahar,gömlek_pantolon
26,var,zayıf,günlük,ilkbahar,tişört
27,yok,orta,okul,ilkbahar,tişört
28,var,kuvvetli,özel,yaz,tişört_şort_şemsiye
29,yok,zayıf,günlük,yaz,tişört_şort
30,var,orta,okul,yaz,tişört_şort_şemsiye
31,yok,kuvvetli,özel,yaz,tişört_şort
32,var,zayıf,günlük,yaz,tişört_şort_şemsiye
33,yok,orta,okul,yaz,tişört_şort
34,var,kuvvetli,özel,yaz,tişört_şort_şemsiye
35,yok,zayıf,günlük,yaz,tişört_şort
36,var,orta,okul,yaz,tişört_şort_şemsiye
37,yok,kuvvetli,özel,yaz,tişört_şort
38,var,zayıf,günlük,yaz,tişört_şort
39,yok,orta,okul,yaz,tişört_şort
40,var,kuvvetli,özel,yaz,tişört_şort_şemsiye
-10,yok,orta,okul,kış,kalın_mont
-9,var,kuvvetli,özel,kış,kalın_mont_şemsiye
-7,yok,zayıf,günlük,kış,kalın_mont
-6,var,orta,okul,kış,kalın_mont_şemsiye
-4,yok,kuvvetli,özel,kış,kalın_mont
-3,var,zayıf,günlük,kış,kalın_mont_şemsiye
-1,yok,orta,okul,kış,kalın_mont
0,var,kuvvetli,özel,kış,kalın_mont_şemsiye
2,yok,zayıf,günlük,kış,kalın_mont
3,var,orta,okul,kış,kalın_mont_şemsiye
4,yok,kuvvetli,özel,kış,kalın_mont
5,var,zayıf,günlük,kış,mont_şemsiye
6,yok,orta,okul,kış,mont
7,var,kuvvetli,özel,kış,mont_şemsiye
8,yok,zayıf,günlük,kış,mont
9,var,orta,okul,kış,mont_şemsiye
10,yok,kuvvetli,özel,sonbahar,mont
11,var,zayıf,günlük,sonbahar,mont_şemsiye
12,yok,orta,okul,sonbahar,sweatshirt
13,var,kuvvetli,özel,sonbahar,sweatshirt_şemsiye
14,yok,zayıf,günlük,sonbahar,sweatshirt
15,var,orta,okul,sonbahar,sweatshirt_şemsiye
16,yok,kuvvetli,özel,sonbahar,gömlek_pantolon
17,var,zayıf,günlük,sonbahar,sweatshirt_şemsiye
18,yok,orta,okul,sonbahar,sweatshirt
19,var,kuvvetli,özel,sonbahar,gömlek_pantolon_şemsiye
20,yok,zayıf,günlük,ilkbahar,tişört
21,var,orta,okul,ilkbahar,tişört_şemsiye
22,yok,kuvvetli,özel,ilkbahar,gömlek_pantolon
23,var,zayıf,günlük,ilkbahar,tişört_şemsiye
24,yok,orta,okul,ilkbahar,tişört
25,var,kuvvetli,özel,ilkbahar,gömlek_pantolon_şemsiye
26,yok,zayıf,günlük,ilkbahar,tişört
27,var,orta,okul,ilkbahar,tişört_şemsiye
28,yok,kuvvetli,özel,yaz,tişört_şort
29,var,zayıf,günlük,yaz,tişört_şort_şemsiye
30,yok,orta,okul,yaz,tişört_şort
31,var,kuvvetli,özel,yaz,tişört_şort_şemsiye
32,yok,zayıf,günlük,yaz,tişört_şort
33,var,orta,okul,yaz,tişört_şort
34,yok,kuvvetli,özel,yaz,tişört_şort
35,var,zayıf,günlük,yaz,tişört_şort_şemsiye
36,yok,orta,okul,yaz,tişört_şort
37,var,kuvvetli,özel,yaz,tişört_şort_şemsiye
38,yok,zayıf,günlük,yaz,tişört_şort
39,var,orta,okul,yaz,tişört_şort
40,yok,kuvvetli,özel,yaz,tişört_şort_şemsiye
41,var,zayıf,günlük,yaz,tişört_şort_şemsiye
42,yok,orta,okul,yaz,tişört_şort
-11,yok,zayıf,okul,kış,kalın_mont
-12,var,orta,günlük,kış,kalın_mont_şemsiye
